iter	Logloss
0	0.6679468956
1	0.6349448837
2	0.5951024992
3	0.5786851982
4	0.5381566
5	0.5181600608
6	0.4974409566
7	0.4810613771
8	0.4664271553
9	0.4489636497
10	0.448456457
11	0.4353297923
12	0.4227097135
13	0.4150888629
14	0.4029111003
15	0.3908534783
16	0.3807115835
17	0.3674016115
18	0.3603915556
19	0.345885917
20	0.3386623947
21	0.3380855053
22	0.3292579465
23	0.3158668512
24	0.3152696528
25	0.3147596655
26	0.3142998823
27	0.3086467109
28	0.3032491854
29	0.2974288398
30	0.2970654573
31	0.2906284194
32	0.2882218925
33	0.2843229293
34	0.28404879
35	0.2776976289
36	0.2774519845
37	0.2716724653
38	0.2653429892
39	0.2641080332
40	0.262249428
41	0.2602815324
42	0.2580290706
43	0.2565341385
44	0.250990745
45	0.248624328
46	0.2464767195
47	0.2442747298
48	0.2427338986
49	0.2425155629
50	0.2423928781
51	0.2411885773
52	0.2398145754
53	0.236592478
54	0.2365057325
55	0.2359687378
56	0.2347798209
57	0.2347144451
58	0.2345134433
59	0.231103596
60	0.2302753047
61	0.2293435372
62	0.2285645624
63	0.2267458562
64	0.2249714788
65	0.2249364172
66	0.2243161766
67	0.2227650707
68	0.2217051994
69	0.2215777864
70	0.220819415
71	0.2196521375
72	0.2165170746
73	0.2161110291
74	0.2154771586
75	0.213013477
76	0.2129589495
77	0.2127704227
78	0.212713158
79	0.2124963332
80	0.2121167821
81	0.2113103148
82	0.2107877496
83	0.2101853677
84	0.2097421179
85	0.2096736814
86	0.2088162338
87	0.2059561924
88	0.2052064497
89	0.2046554871
90	0.204507659
91	0.2042617266
92	0.2037055378
93	0.2024212251
94	0.2021632842
95	0.2016787232
96	0.2014111905
97	0.2010733222
98	0.2010356739
99	0.1978074977
100	0.1973405507
101	0.1969528138
102	0.1952537288
103	0.1952419449
104	0.1950665554
105	0.1946992653
106	0.1933191733
107	0.191876414
108	0.1917335718
109	0.1912100834
110	0.1906970577
111	0.1904271344
112	0.1900914392
113	0.1887373562
114	0.188485306
115	0.1878805621
116	0.1875606951
117	0.1873818731
118	0.1873362389
119	0.1869979777
120	0.1863460234
121	0.1848458017
122	0.1847707123
123	0.1828903454
124	0.1826086326
125	0.1819400098
126	0.1809400111
127	0.1805373578
128	0.180283764
129	0.1800309336
130	0.1798260881
131	0.179825579
132	0.1786021318
133	0.1783981117
134	0.1783051802
135	0.1772474574
136	0.1767691287
137	0.1749052511
138	0.1745854292
139	0.1745853811
140	0.1743418712
141	0.174186563
142	0.1739399906
143	0.1736318658
144	0.1732099631
145	0.1729315669
146	0.1726657674
147	0.1725229431
148	0.172315621
149	0.1720886438
150	0.1720624379
151	0.1718838833
152	0.1716759801
153	0.1705948136
154	0.1691419322
155	0.1689028478
156	0.1682578025
157	0.1678085492
158	0.1673989126
159	0.1670354027
160	0.1668699849
161	0.1667429571
162	0.1665732395
163	0.1662005114
164	0.1660741315
165	0.1658669474
166	0.1656209242
167	0.1651103084
168	0.1650312289
169	0.1647209555
170	0.1633538622
171	0.1630416046
172	0.1629024182
173	0.1626195564
174	0.1622805618
175	0.1621223133
176	0.1619030926
177	0.1617770979
178	0.1616996386
179	0.1616264054
180	0.1609364537
181	0.1605995288
182	0.1592673895
183	0.1589766235
184	0.1586689379
185	0.1585329845
186	0.1581712831
187	0.1578685302
188	0.1576746466
189	0.1571370314
190	0.1569506942
191	0.1565400572
192	0.1563428321
193	0.1560974211
194	0.1553089646
195	0.1552302652
196	0.1551853733
197	0.1545669759
198	0.1537433579
199	0.1536035491
200	0.1535693461
201	0.1532362985
202	0.1526123068
203	0.1524614168
204	0.1520918144
205	0.1518991114
206	0.151776386
207	0.1514762289
208	0.1509487611
209	0.1508536942
210	0.1507057248
211	0.150447097
212	0.1502168161
213	0.1500358113
214	0.1499113445
215	0.1498547782
216	0.149691362
217	0.1495595973
218	0.1494560597
219	0.1493026222
220	0.1490969848
221	0.1487444412
222	0.1480860234
223	0.1477073462
224	0.1476221163
225	0.1475763646
226	0.1473428868
227	0.1470556349
228	0.1467551154
229	0.1466397097
230	0.145819071
231	0.1454101923
232	0.1449391759
233	0.144690816
234	0.1444767851
235	0.1442696887
236	0.1440837943
237	0.1437631807
238	0.1437347742
239	0.143508832
240	0.1425303161
241	0.1422593892
242	0.1422445422
243	0.1421027548
244	0.1418133611
245	0.1413455088
246	0.1411096453
247	0.1410209615
248	0.1406589207
249	0.140581556
250	0.1400526236
251	0.1400282689
252	0.1398584451
253	0.1398459387
254	0.1394816438
255	0.1393896829
256	0.1389694239
257	0.1389155334
258	0.1382774533
259	0.137994526
260	0.1377571274
261	0.1376560195
262	0.1374544741
263	0.1371806226
264	0.1368675397
265	0.1365874629
266	0.1364965291
267	0.1364577881
268	0.1363621619
269	0.1361764208
270	0.1361447975
271	0.1356368757
272	0.1352784395
273	0.1350117277
274	0.1347803335
275	0.1346156232
276	0.1343826771
277	0.13310515
278	0.132820017
279	0.1327301752
