iter	Passed	Remaining
0	168	168276
1	189	94616
2	214	71154
3	230	57290
4	253	50362
5	275	45687
6	301	42712
7	327	40558
8	347	38229
9	369	36591
10	378	34041
11	401	33076
12	427	32421
13	443	31228
14	463	30420
15	491	30199
16	516	29840
17	540	29501
18	570	29471
19	595	29175
20	623	29069
21	629	28005
22	656	27903
23	687	27949
24	700	27306
25	706	26460
26	712	25661
27	738	25648
28	764	25581
29	787	25471
30	793	24798
31	819	24780
32	842	24673
33	864	24573
34	869	23984
35	892	23912
36	898	23388
37	923	23375
38	948	23360
39	971	23308
40	987	23109
41	1015	23166
42	1042	23191
43	1055	22929
44	1071	22733
45	1096	22730
46	1119	22690
47	1142	22660
48	1166	22639
49	1176	22351
50	1185	22057
51	1208	22034
52	1232	22021
53	1255	22001
54	1261	21678
55	1283	21637
56	1307	21624
57	1312	21322
58	1335	21300
59	1358	21286
60	1380	21258
61	1405	21256
62	1429	21256
63	1455	21281
64	1482	21319
65	1488	21059
66	1511	21053
67	1535	21048
68	1558	21025
69	1578	20977
70	1609	21064
71	1662	21428
72	1687	21426
73	1718	21499
74	1747	21553
75	1771	21542
76	1787	21429
77	1812	21429
78	1828	21322
79	1850	21284
80	1874	21264
81	1899	21260
82	1922	21239
83	1944	21207
84	1968	21186
85	1981	21063
86	2006	21053
87	2030	21045
88	2053	21018
89	2078	21019
90	2095	20934
91	2118	20909
92	2141	20883
93	2166	20878
94	2190	20864
95	2213	20842
96	2238	20837
97	2262	20826
98	2278	20736
99	2304	20737
100	2328	20722
101	2353	20723
102	2377	20703
103	2390	20598
104	2413	20572
105	2438	20562
106	2462	20551
107	2485	20529
108	2510	20519
109	2534	20506
110	2563	20529
111	2605	20659
112	2632	20663
113	2660	20678
114	2691	20716
115	2716	20698
116	2740	20684
117	2764	20659
118	2779	20580
119	2801	20547
120	2827	20539
121	2850	20517
122	2874	20493
123	2897	20471
124	2915	20406
125	2938	20381
126	2961	20355
127	2985	20335
128	3008	20312
129	3032	20291
130	3056	20277
131	3069	20184
132	3093	20164
133	3116	20139
134	3138	20112
135	3162	20088
136	3186	20075
137	3210	20055
138	3235	20044
139	3248	19956
140	3274	19947
141	3297	19924
142	3322	19910
143	3345	19884
144	3374	19900
145	3400	19889
146	3423	19864
147	3447	19846
148	3476	19857
149	3506	19868
150	3520	19792
151	3544	19774
152	3568	19753
153	3593	19738
154	3622	19749
155	3650	19752
156	3676	19742
157	3703	19734
158	3728	19721
159	3752	19701
160	3776	19681
161	3823	19778
162	3848	19764
163	3872	19742
164	3899	19734
165	3925	19721
166	3948	19694
167	3972	19674
168	3997	19657
169	4022	19639
170	4045	19614
171	4070	19596
172	4094	19574
173	4119	19557
174	4143	19533
175	4166	19506
176	4190	19486
177	4215	19467
178	4239	19444
179	4263	19420
180	4287	19402
181	4315	19398
182	4339	19373
183	4363	19353
184	4388	19333
185	4413	19313
186	4436	19287
187	4461	19270
188	4486	19251
189	4513	19243
190	4540	19231
191	4563	19206
192	4591	19198
193	4620	19198
194	4647	19184
195	4674	19173
196	4700	19158
197	4729	19155
198	4752	19130
199	4776	19106
200	4799	19077
201	4825	19063
202	4849	19038
203	4871	19008
204	4896	18990
205	4923	18975
206	4946	18951
207	4970	18925
208	4995	18907
209	5019	18883
210	5043	18857
211	5066	18831
212	5095	18825
213	5120	18807
214	5143	18781
215	5166	18752
216	5191	18731
217	5215	18707
218	5237	18677
219	5261	18654
220	5285	18630
221	5310	18609
222	5333	18584
223	5359	18565
224	5384	18545
225	5407	18520
226	5431	18494
227	5455	18471
228	5482	18457
229	5512	18453
230	5541	18448
231	5568	18432
232	5592	18410
233	5615	18383
234	5641	18365
235	5667	18347
236	5691	18324
237	5717	18304
238	5744	18289
239	5767	18264
240	5791	18240
241	5820	18230
242	5845	18208
243	5870	18190
244	5894	18166
245	5920	18147
246	5969	18197
247	5998	18187
248	6021	18162
249	6047	18141
250	6071	18116
251	6097	18100
252	6121	18074
253	6146	18052
254	6172	18032
255	6198	18013
256	6221	17986
257	6244	17958
258	6269	17935
259	6293	17912
260	6319	17891
261	6343	17867
262	6367	17843
263	6390	17816
264	6414	17790
265	6437	17764
266	6463	17744
267	6488	17721
268	6514	17703
269	6539	17682
270	6568	17670
271	6593	17648
272	6639	17681
273	6665	17660
274	6688	17633
275	6719	17626
276	6751	17621
277	6783	17616
278	6816	17616
279	6842	17595
